============================================================
  K-line fetch: 2026-05
  Range: 2026-03-02 ~ 2026-05-31
  Dir: D:\pythonProject\openclaw-quant-system\data\klines\2026-05
============================================================
Stock pool: 800 codes
Need to fetch 800 stocks...
  [10/800] ok=10 fail=0 (34s, ETA 2672s)
  [20/800] ok=20 fail=0 (60s, ETA 2322s)
  [30/800] ok=30 fail=0 (91s, ETA 2337s)
  [40/800] ok=40 fail=0 (127s, ETA 2405s)
  [50/800] ok=50 fail=0 (159s, ETA 2380s)
  [60/800] ok=60 fail=0 (189s, ETA 2336s)
  [70/800] ok=70 fail=0 (218s, ETA 2278s)
  [80/800] ok=80 fail=0 (246s, ETA 2210s)
  [90/800] ok=90 fail=0 (274s, ETA 2163s)
  [100/800] ok=100 fail=0 (312s, ETA 2182s)
  [110/800] ok=110 fail=0 (341s, ETA 2137s)
  [120/800] ok=120 fail=0 (368s, ETA 2086s)
  [130/800] ok=130 fail=0 (397s, ETA 2046s)
  [140/800] ok=140 fail=0 (431s, ETA 2032s)
  [150/800] ok=150 fail=0 (465s, ETA 2014s)
  [160/800] ok=160 fail=0 (495s, ETA 1979s)
  [170/800] ok=170 fail=0 (527s, ETA 1952s)
  [180/800] ok=180 fail=0 (554s, ETA 1908s)
  [190/800] ok=190 fail=0 (588s, ETA 1888s)
  [200/800] ok=200 fail=0 (620s, ETA 1859s)
  [210/800] ok=210 fail=0 (649s, ETA 1824s)
  [220/800] ok=220 fail=0 (681s, ETA 1795s)
  [230/800] ok=230 fail=0 (713s, ETA 1768s)
  [240/800] ok=240 fail=0 (744s, ETA 1735s)
  [250/800] ok=250 fail=0 (775s, ETA 1706s)
  [260/800] ok=260 fail=0 (812s, ETA 1687s)
  [270/800] ok=270 fail=0 (845s, ETA 1658s)
  [280/800] ok=280 fail=0 (880s, ETA 1634s)
  [290/800] ok=290 fail=0 (910s, ETA 1600s)
  [300/800] ok=300 fail=0 (943s, ETA 1572s)
  [310/800] ok=310 fail=0 (978s, ETA 1545s)
  [320/800] ok=320 fail=0 (1012s, ETA 1517s)
  [330/800] ok=330 fail=0 (1047s, ETA 1490s)
  [340/800] ok=340 fail=0 (1082s, ETA 1464s)
  [350/800] ok=350 fail=0 (1118s, ETA 1437s)
  [360/800] ok=360 fail=0 (1148s, ETA 1403s)
  [370/800] ok=370 fail=0 (1179s, ETA 1370s)
  [380/800] ok=380 fail=0 (1216s, ETA 1345s)
  [390/800] ok=390 fail=0 (1259s, ETA 1324s)
  [400/800] ok=400 fail=0 (1299s, ETA 1299s)
  [410/800] ok=410 fail=0 (1330s, ETA 1265s)
  [420/800] ok=420 fail=0 (1368s, ETA 1238s)
  [430/800] ok=430 fail=0 (1396s, ETA 1201s)
  [440/800] ok=440 fail=0 (1426s, ETA 1166s)
  [450/800] ok=450 fail=0 (1464s, ETA 1139s)
  [460/800] ok=460 fail=0 (1499s, ETA 1108s)
  [470/800] ok=470 fail=0 (1530s, ETA 1074s)
  [480/800] ok=480 fail=0 (1559s, ETA 1039s)
  [490/800] ok=490 fail=0 (1595s, ETA 1009s)
  [500/800] ok=500 fail=0 (1624s, ETA 974s)
  [510/800] ok=510 fail=0 (1659s, ETA 943s)
  [520/800] ok=520 fail=0 (1691s, ETA 911s)
  [530/800] ok=530 fail=0 (1726s, ETA 879s)
  [540/800] ok=540 fail=0 (1765s, ETA 850s)
  [550/800] ok=550 fail=0 (1802s, ETA 819s)
  [560/800] ok=560 fail=0 (1835s, ETA 786s)
  [570/800] ok=570 fail=0 (1873s, ETA 756s)
  [580/800] ok=580 fail=0 (1909s, ETA 724s)
  [590/800] ok=590 fail=0 (1943s, ETA 692s)
  [600/800] ok=600 fail=0 (1974s, ETA 658s)
  [610/800] ok=610 fail=0 (2002s, ETA 623s)
  [620/800] ok=620 fail=0 (2036s, ETA 591s)
  [630/800] ok=630 fail=0 (2067s, ETA 558s)
  [640/800] ok=640 fail=0 (2096s, ETA 524s)
  [650/800] ok=650 fail=0 (2123s, ETA 490s)
  [660/800] ok=660 fail=0 (2150s, ETA 456s)
  [670/800] ok=670 fail=0 (2186s, ETA 424s)
  [680/800] ok=680 fail=0 (2213s, ETA 391s)
  [690/800] ok=690 fail=0 (2249s, ETA 359s)
  [700/800] ok=700 fail=0 (2277s, ETA 325s)
  [710/800] ok=710 fail=0 (2307s, ETA 292s)
  [720/800] ok=720 fail=0 (2338s, ETA 260s)
  [730/800] ok=730 fail=0 (2369s, ETA 227s)
  [740/800] ok=740 fail=0 (2405s, ETA 195s)
  [750/800] ok=750 fail=0 (2438s, ETA 163s)
  [760/800] ok=760 fail=0 (2471s, ETA 130s)
  [770/800] ok=770 fail=0 (2509s, ETA 98s)
  [780/800] ok=780 fail=0 (2544s, ETA 65s)
  [790/800] ok=790 fail=0 (2577s, ETA 33s)
  [800/800] ok=800 fail=0 (2609s, ETA 0s)

Done! ok=800 fail=0 (2609s)
