高分组(>27.5): 81笔
中分组(25.0-27.5): 78笔
低分组(<=25.0): 88笔

==================================================================================================================================
高分组逐笔交易详情 (composite_score > 27.5)
==================================================================================================================================
代码           信号日             综合分    E分      入场价     退出收益     最大浮盈 退出方式                 持有天数    10日收益    20日收益
600138.SH    2026-01-07     27.9   7.0     9.87    1.01%    4.56% trailing_stop           7    2.43%    1.82%
300059.SZ    2026-04-30     27.8   7.0    20.85   -8.11%    0.00% stop_loss               4   -4.56%      N/A
000725.SZ    2026-05-06     27.8   7.0     4.21   -0.95%   21.38% trailing_stop           4    1.19%      N/A
002041.SZ    2026-01-27     27.8   7.0    10.12    6.62%   15.02% trailing_stop           7    3.26%   21.64%
000528.SZ    2026-04-28     27.8   7.0     9.92   -9.48%    0.10% stop_loss               6   -4.13%      N/A
300549.SZ    2026-04-28     27.8   6.9    18.12  -14.13%    2.10% stop_loss               6    1.43%      N/A
301177.SZ    2026-05-06     27.8   6.9    29.86  -12.49%    1.07% stop_loss               3   -1.07%      N/A
000783.SZ    2026-04-29     27.8   6.9     7.99    2.88%   10.01% trailing_stop           4    5.13%      N/A
000029.SZ    2026-04-28     27.7   6.9    20.95   26.40%   42.34% trailing_stop          13   38.00%      N/A
002114.SZ    2026-05-06     27.7   6.9     9.35  -15.40%    0.21% stop_loss               3   -6.63%      N/A
000567.SZ    2026-04-28     27.7   6.9     6.06    2.97%   12.71% trailing_stop           6    5.61%      N/A
002806.SZ    2026-01-15     27.7   6.9    12.88    1.86%    4.97% trailing_stop           9    1.16%   32.14%
002376.SZ    2026-04-30     27.7   6.9     7.39  -11.50%    0.00% stop_loss               4   -2.71%      N/A
002352.SZ    2026-01-06     27.7   6.9    38.90   -2.67%    2.31% trailing_stop          15    2.31%   -3.16%
300493.SZ    2026-04-30     27.7   6.9    16.58   -1.21%    2.11% trailing_stop           8    4.22%      N/A
301332.SZ    2026-04-27     27.6   6.9     9.45   -7.94%    4.13% stop_loss               7   -1.38%      N/A
301269.SZ    2026-04-24     27.6   6.9    92.77  -10.96%    0.00% stop_loss               2    3.45%      N/A
000987.SZ    2025-12-25     27.6   6.9     7.64   33.77%   41.88% trailing_stop          12   41.88%   53.01%
300947.SZ    2026-04-30     27.6   6.9    17.66  -12.17%    0.00% stop_loss               4   -1.02%      N/A
000758.SZ    2026-04-29     27.6   6.9     7.01   -4.42%    6.85% trailing_stop           5    1.28%      N/A
300826.SZ    2026-04-29     27.6   6.9    17.00   -6.00%    2.82% trailing_stop           5   -1.71%      N/A
300889.SZ    2026-01-23     27.6   6.9    23.01   -1.22%    5.17% trailing_stop           6    3.39%   14.99%
002404.SZ    2026-04-27     27.6   6.9     7.11  -13.92%    1.55% stop_loss               7   -2.25%      N/A
